Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / 日本,Status
乾燥にんにく-スライス,自然農乾燥ニンニク（スライス）＊１０g,"<meta charset=""utf-8"">
<p data-mce-fragment=""1"">重量（目安）：１０g前後<br data-mce-fragment=""1""><br data-mce-fragment=""1"">種別：自然農<br data-mce-fragment=""1""><br data-mce-fragment=""1"">配送：夏期常温配送可<br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">【自然栽培の大蒜をスライスし、低温でじっくり乾燥しました。】</strong></p>
<p data-mce-fragment=""1"">パスタやお肉料理、食べるラー油等</p>
<p data-mce-fragment=""1"">通常の生にんにくの様に、いろんな料理にご利用ください＾＾</p>
<p data-mce-fragment=""1""><br data-mce-fragment=""1""><strong>【保存方法】</strong></p>
<p data-mce-fragment=""1""> </p>
<meta charset=""utf-8"">
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">高温多湿、直射日光を避け冷暗所で保存してください。</span></p>
<p data-mce-fragment=""1"">完全手作業でスライスした為、厚みにバラ付きがありますが</p>
<p data-mce-fragment=""1"">ご了承下さい。<br data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1"">▽にんにく/ニンニク/大蒜</p>",阿波ツクヨミファーム,食品・飲料,調味料,化学農薬化学肥料不使用,true,Title,Default Title,,,,,"",10.0,shopify,1,deny,manual,330,,true,true,"",,,,false,,,,,,,,,,,,,,,g,,,true,active
自然農大根-１本,自然農大根＊800g〜,"<meta charset=""utf-8"">
<p><span data-mce-fragment=""1"">重量（目安）：800g〜</span></p>
<p><span>種別：自然農<br></span><br data-mce-fragment=""1""><span>配送：6/1〜10/20の期間は要冷蔵配送です。</span></p>
<meta charset=""utf-8""><meta charset=""utf-8"">
<p><span data-mce-fragment=""1"">自然栽農の大根（800g以上）</span><span data-mce-fragment=""1"">です。</span></p>
<p><span class=""il"">大根</span><span class=""il"">は</span><span>葉っぱの部分も合わせると栄養バランスの優れたお野菜です</span><wbr><span>。<br></span><span>葉っぱをサッと茹でて、ごま油、醤油、砂糖、鰹節で炒めるとおに</span><wbr><span>ぎりの具などご飯のお共になります＾＾</span></wbr></p>
<p><span>▽だいこん/ダイコン/大根</span></p>",阿波ツクヨミファーム,食品・飲料 > 食品 > 野菜・果物 > 野菜・冷凍野菜 > 大根・ラディッシュ,根菜,"11月が旬, 12月が旬, 1月が旬, 2月が旬, 夏期常温配送OK！",false,Title,Default Title,,,,,daikon,1000.0,shopify,82,deny,manual,300,,true,true,"",https://cdn.shopify.com/s/files/1/0515/4045/9679/products/daikon_01554c29-3ba5-4490-aba4-f1f441c529d1.jpg?v=1668612372,1,,false,,,,,,,,,,,,,,,kg,,150,true,draft
自然農サラダほうれん草-150,自然農サラダほうれん草＊150g,"<p>重量（目安）：<span data-mce-fragment=""1"">150g（自然農）</span></p>
<p><span data-mce-fragment=""1"">種別：自然農</span></p>
<p data-mce-fragment=""1"">配送：3/20〜10/20の期間は要冷蔵配送です。</p>
<p>栄養価が高い緑黄色野菜のホウレン草です。<br><span data-mce-fragment=""1"">自然農のほうれん草はまずは</span><span data-mce-fragment=""1"">是非生でサラダで。</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">あと根っこも食べてみて下さい＾＾</span><br data-mce-fragment=""1"">寒さが厳しくなればなるほど甘みも増してきますよ＾＾</p>
<p><meta charset=""utf-8""><span>▽ほうれんそう/ホウレンソウ/ほうれん草/法蓮草</span></p>",阿波ツクヨミファーム,食品・飲料 > 食品 > 野菜・果物 > 野菜・冷凍野菜 > 葉物野菜 > ほうれん草,葉物野菜・茎の野菜,"11月が旬, 12月が旬, 1月が旬, 2月が旬, 化学農薬化学肥料不使用",false,素材,自然農,,,,,hourensou-ji,150.0,shopify,888,deny,manual,270,,true,true,,https://cdn.shopify.com/s/files/1/0515/4045/9679/products/hourensou_siro_9a2fef24-45e2-4440-8f45-f7f7aa04604f.png?v=1668584063,1,,false,,,,,,,,,,,,,,,g,,,true,draft
新米-山地の自然栽培-令和４年度徳島県産はるみ,山地の自然栽培！令和４年度徳島県産はるみ＊５〜２３kg,"<meta charset=""utf-8""><meta charset=""utf-8"">
<p data-mce-fragment=""1"">重量（目安）：5kg、10kg、23kg<br data-mce-fragment=""1""><br data-mce-fragment=""1"">種別：自然栽培<br data-mce-fragment=""1""><br data-mce-fragment=""1"">配送：常温便可</p>
<p data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">（ご不便をおかけいたします。籾摺機の調子が悪く、玄米の販売を中止しておりますm(_ _)m）</span></p>
<p data-mce-fragment=""1""><meta charset=""utf-8"">お米は農薬や除草剤等も一切利用していませんので、<br data-mce-fragment=""1"">ライスミルクやヨーグルトも是非お試しください〜<br data-mce-fragment=""1"">生のお米でパンもつくれます＾＾<br data-mce-fragment=""1""><a href=""http://cookpad.com/search/%E3%83%A9%E3%82%A4%E3%82%B9%E3%83%9F%E3%83%AB%E3%82%AF"" data-mce-fragment=""1"" data-mce-href=""http://cookpad.com/search/%E3%83%A9%E3%82%A4%E3%82%B9%E3%83%9F%E3%83%AB%E3%82%AF"" target=""_blank"">http://cookpad.com/search/ライスミルク</a><br data-mce-fragment=""1""><a href=""http://ameblo.jp/kikunosuke18/entry-10210514733.html"" data-mce-fragment=""1"" data-mce-href=""http://ameblo.jp/kikunosuke18/entry-10210514733.html"" target=""_blank"">http://ameblo.jp/kikunosuke18/entry-10210514733.html</a><br data-mce-fragment=""1""><a href=""https://honsuki.jp/series/bread/25325"" data-mce-fragment=""1"" data-mce-href=""https://honsuki.jp/series/bread/25325"" target=""_blank"">https://honsuki.jp/series/bread/25325</a><br data-mce-fragment=""1""><meta charset=""utf-8""><span data-mce-fragment=""1"">全て発芽する生きているお米なので</span>、小豆と塩で発芽発酵玄米もオススメです＾＾</p>
<meta charset=""utf-8"">
<p data-mce-fragment=""1"">お米と言えば東北？</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">いーえ南国、四国だって負けていません！</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">徳島の中でも一番の米所で、寒暖差が大きい山地のあけぼのです。</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">除草剤、農薬、肥料を使用せず育てています。</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">日本一の清流、吉野川の恵みを受けた阿波米は本場にも引けを取らない隠れた一品です。</span></p>
<p><span data-mce-fragment=""1"">※内容量は玄米の時の重量となりますので、精米をご選択された場合には、精米された分（約１０〜１５％のヌカの分）重量が減りますが、ご了承下さいませ。</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">※無洗米加工をご希望された場合、乾式のためお米のデンプン質により白濁することもございます。</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">水を換える必要はございませんが、気になるようですと、１、２回さっとすすいで頂ければと思います。</span></p>
<p><span data-mce-fragment=""1""><meta charset=""utf-8"">▽玄米/精米/無洗米</span></p>",阿波ツクヨミファーム,,お米・たまご,"10月が旬, 11月が旬, 12月が旬, 9月が旬, 化学農薬化学肥料不使用, 夏期常温配送OK！",true,サイズ,5kg,素材,玄米,,,,5000.0,shopify,0,deny,manual,3400,,true,true,,https://cdn.shopify.com/s/files/1/0515/4045/9679/products/koshihikari_5kg_9e067b3b-0fc5-43c7-8a34-fff3fa4a4725.jpg?v=1667418646,1,,false,,,,,,,,,,,,,,,kg,,,true,active
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,5kg,,精米,,,,5000.0,shopify,-17,deny,manual,3400,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,5kg,,精米１分つき,,,,5000.0,shopify,-17,deny,manual,3400,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,5kg,,精米３分つき,,,,5000.0,shopify,-18,deny,manual,3400,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,5kg,,精米５分つき,,,,5000.0,shopify,-17,deny,manual,3400,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,5kg,,精米８分つき,,,,5000.0,shopify,-18,deny,manual,3400,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,5kg,,無洗米,,,,5000.0,shopify,-14,deny,manual,3400,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
