商品名,商品コード,商品ラベルID,SKUコード,マスターSKU商品の指定,単品・定期,ステータス,販売中,公開開始日,公開終了日,通常価格,販売価格,税率設定ID,詳細,詳細（モバイル）,規格名1,分類名1,規格名2,分類名2,規格名3,分類名3,送料の個別設定ID,支払い手数料の個別設定ID,同梱物,注文毎の購入制限数,購入数の下限,購入数の上限,顧客毎の購入制限数,未成年者の購入制限,未成年者の設定,同梱物の購入制限,ポイント交換,変更可能SKUグループID,原価,大きさ,会員ランク制御,注意喚起文（画面上部）,注意喚起文,支払い方法割引設定（支払い方法ID）,支払い方法割引設定（割引額）,支払い方法割引設定（割引率）,支払い方法割引設定（初回のみ）,詳細（サブ）,詳細（サブ、モバイル）,メタディスクリプション,メタキーワード,新着フラグ,セールフラグ,購入画面への表示,メール画面への表示,帳票への表示,メーカーID,カテゴリーID,商品画像,SKU商品画像1,SKU商品画像2,SKU商品画像3,SKU商品画像4,SKU商品画像5,定期お約束回数,配送サイクル,何ヶ月ごとの何日に配送,何日ごとに配送,何ヶ月ごとの何回目の何曜日に配送,選択可能間隔（日付・曜日）,選択可能間隔（間隔）,連携用商品番号,連携用SKU番号,自由入力1,自由入力2,自由入力3,自由入力4,自由入力5,自由入力6,自由入力7,自由入力8,自由入力9,自由入力10
自然農乾燥ニンニク（スライス）＊１０g,product-v-003,,product-v-003,,0,active,1,,,330,330,,,,,,,,,,,,,,,,,,,,,,330,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農大根＊800g?,product-v-004,,product-v-004,,0,inactive,0,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農サラダほうれん草＊150g,product-v-005,,product-v-005,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山地の自然栽培！令和４年度徳島県産はるみ＊５?２３kg,product-v-006,,product-v-006,,0,active,1,,,3400,3400,,,,,,,,,,,,,,,,,,,,,,3400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【注意事項を必ずご確認下さい】★訳あり★令和４年度徳島県産農薬不使用餅米,product-v-007,,product-v-007,,0,inactive,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
たむらの濃密マヨネーズ,product-v-008,,product-v-008,,0,inactive,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神山鶏　肉だんご,product-v-009,,product-v-009,,0,inactive,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秘蔵しょうゆ,product-v-010,,product-v-010,,0,inactive,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機キーマカレー,product-v-011,,product-v-011,,0,inactive,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
オーガニックぶどうジュース,product-v-012,,product-v-012,,0,inactive,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機果実と野菜のジュース,product-v-013,,product-v-013,,0,inactive,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ハーブティー（Relax and Reflesh ブレンド）＊１５g,product-v-014,,product-v-014,,0,inactive,0,,,750,750,,,,,,,,,,,,,,,,,,,,,,750,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ベジブロス（農薬・化学肥料不使用　野菜パウダー）＊４５g,product-v-015,,product-v-015,,0,inactive,0,,,750,750,,,,,,,,,,,,,,,,,,,,,,750,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
テスト,product-v-016,,product-v-016,,0,inactive,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農パクチーの実,product-v-017,,product-v-017,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
オーガニッククラフトコーラシロップ（希釈タイプ）＊340g（150ml）,product-v-018,,product-v-018,,0,active,1,,,550,550,,,,,,,,,,,,,,,,,,,,,,550,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浅葱（自然農）,product-v-019,,product-v-019,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿波の黒糖,product-v-020,,product-v-020,,0,active,1,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳴門激流こんぶ,product-v-021,,product-v-021,,0,active,1,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
サンチュ（自然農）,product-v-022,,product-v-022,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤からし菜（自然農）,product-v-023,,product-v-023,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農明日葉,product-v-024,,product-v-024,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0商品テンプレート,product-v-025,,product-v-025,,0,inactive,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農レモンバーム＊20g,product-v-026,,product-v-026,,0,active,1,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農三つ葉,product-v-027,,product-v-027,,0,inactive,0,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農スペアミント,product-v-028,,product-v-028,,0,active,1,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農キムチ唐辛子（青）,product-v-029,,product-v-029,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農紫蘇の実（枝付き）,product-v-030,,product-v-030,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【定期購入専用】精米後発送！R３年徳島県産アキサカリ900g,product-v-031,,product-v-031,,0,inactive,0,,,1080,1080,,,,,,,,,,,,,,,,,,,,,,1080,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農もち麦,product-v-032,,product-v-032,,0,inactive,0,,,600,600,,,,,,,,,,,,,,,,,,,,,,600,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
